Product,SKU,Past Items sold,Conversion rate,Past Stock,Price,Past Revenue,Past Percentage increase of item sold,Past Percentage increase of revenue,Past Percentage increase of inventory orders,Predicted items sold 2025,Predicted inventory orders 2025,Predicted revenue 2025,Percentage increase of item sold 2025,Percentage increase of revenue 2025,Percentage increase of inventory orders 2025
SUPER STAY FIXING POWDER - BROWN,68,33,1.0,33,39.06,1211,6.45,6.41,6.45,37,37,1445,12.12,19.32,12.12
ROYAL PROPOLIS LUMINOUS SILK FOUNDATION SPF35 - RPF60 EDEL,74,34,1.0,34,70.21,2036,17.24,17.21,17.24,37,37,2597,8.82,27.55,8.82
CUSHION GLOW BLUSHER - ZINNIA,108,32,0.93,34,63.63,1718,10.34,18.48,25.93,36,38,2290,12.5,33.29,11.76
ALHA ALFA FOGGY LIPS - CARNATION,88,28,0.86,32,17.4,435,-3.45,11.91,28.0,31,36,539,10.71,23.91,12.5
POCKET CAMOUFLAGE CREAM - AAP30,63,30,0.93,32,59.77,1554,7.14,15.34,23.08,33,35,1972,10.0,26.9,9.38
ROYAL PROPOLIS FOUNDATION SPF 45 - FAIR,77,27,0.89,30,58.96,1415,0.0,12.46,25.0,30,33,1768,11.11,24.95,10.0
POCKET CAMOUFLAGE CREAM - AAP20,62,25,0.96,26,54.09,1190,8.7,13.56,18.18,27,28,1460,8.0,22.69,7.69
GLOW SKIN TINTED HIDRATOR - MEDIUM,23,13,0.64,20,0.0,0,-40.91,,42.86,15,23,0,15.38,,15.0
ALHA ALFA BE YOU MATTE FOUNDATION - M40 NATURAL,41,25,0.91,27,61.7,1234,13.64,24.92,35.0,28,30,1727,12.0,39.95,11.11
GLOW SKIN TINTED HIDRATOR - LIGHT,22,13,0.64,20,4.57,64,-40.91,-8.44,42.86,15,23,68,15.38,6.25,15.0
ROYAL PROPOLIS LUMINOUS SILK FOUNDATION SPF35 - RPF10 ACACIA,69,23,1.0,23,65.57,1377,9.52,9.47,9.52,26,26,1704,13.04,23.75,13.04
ROYAL PROPOLIS LUMINOUS SILK FOUNDATION - MINI - AURI,91,13,0.79,16,6.87,103,-31.58,-13.95,6.67,15,18,103,15.38,0.0,12.5
ROYAL PROPOLIS FOUNDATION SPF 45 - WARM NATURAL,82,19,0.95,20,57.39,1033,0.0,5.56,11.11,21,22,1205,10.53,16.65,10.0
ROYAL PROPOLIS POWDER FOUNDATION - AA40 MEDIUM DARK,20,20,1.0,20,53.05,1008,5.26,5.18,5.26,22,22,1167,10.0,15.77,10.0
ROYAL PROPOLIS LUMINOUS SILK FOUNDATION - MINI - FERVI,92,17,1.0,17,9.39,169,-5.56,-5.9,-5.56,19,19,178,11.76,5.33,11.76
POCKET CAMOUFLAGE CREAM - AAP10,61,17,0.94,18,49.69,795,0.0,6.21,12.5,19,20,944,11.76,18.74,11.11
CUSHION GLOW BLUSHER - SWEET ROSE,107,17,0.88,19,64.2,963,0.0,13.29,26.67,19,21,1219,11.76,26.58,10.53
ROYAL PROPOLIS LUMINOUS SILK FOUNDATION - MINI - EDEL,93,16,1.0,16,8.82,150,-5.88,-6.02,-5.88,17,17,149,6.25,-0.67,6.25
SATIN STAY SPF30 &amp; COMPACT POWDER - CP60,50,16,1.0,16,41.41,704,-5.88,-5.95,-5.88,18,18,745,12.5,5.82,12.5
HEART APPLICATOR SPONGE - BLACK,11,17,0.94,18,45.0,720,0.0,6.15,12.5,19,20,855,11.76,18.75,11.11
PRESSED POWDER PALETTE - RED VELVET,101,18,1.0,18,52.82,898,5.88,5.86,5.88,20,20,1056,11.11,17.59,11.11
PRESSED POWDER PALETTE - TANGERINE,102,14,0.93,15,53.43,748,-6.67,-0.07,7.14,16,17,854,14.29,14.17,13.33
COMPACT POWDER &amp; CUSHION FOUNDATION - M30,32,12,0.71,16,117.4,1174,-14.29,19.97,60.0,13,18,1526,8.33,29.98,12.5
ALHA ALFA FOGGY LIPS - MERLIN,90,14,1.0,14,14.85,193,7.69,7.58,7.69,15,15,222,7.14,15.03,7.14
ALHA ALFA FACE BRUSH - BRUSH F01,5,16,1.0,16,73.85,960,23.08,23.08,23.08,17,17,1255,6.25,30.73,6.25
SATIN STAY SPF30 &amp; COMPACT POWDER - CP40,48,11,1.0,11,38.92,506,-15.38,-15.5,-15.38,13,13,505,18.18,-0.2,18.18
ALHA ALFA BE YOU GLOW FOUNDATION - G50 WARM NATURAL,36,14,0.92,15,62.27,685,16.67,27.13,36.36,15,16,934,7.14,36.35,6.67
ALHA ALFA CHEEKY MATTE POWDER BLUSH - BL03,55,14,1.0,14,58.17,698,16.67,16.57,16.67,16,16,930,14.29,33.24,14.29
ALHA ALFA CHEEKY MATTE POWDER BLUSH - BL01,53,13,1.0,13,58.91,648,18.18,18.05,18.18,15,15,883,15.38,36.27,15.38
SUPER STAY FIXING POWDER - MINI - BROWN,85,5,1.0,5,7.33,66,-44.44,-44.86,-44.44,6,6,43,20.0,-34.85,20.0
COMPACT POWDER &amp; CUSHION FOUNDATION - M20,31,10,1.0,10,77.67,699,11.11,11.11,11.11,11,11,854,10.0,22.17,10.0
ALHA ALFA CHEEKY MATTE POWDER BLUSH - BL05,57,9,1.0,9,56.12,449,12.5,12.47,12.5,10,10,561,11.11,24.94,11.11
ROYAL PROPOLIS FOUNDATION SPF 45 - NATURAL TAN,83,5,0.88,5,42.71,299,-37.5,-28.71,-28.57,6,6,256,20.0,-14.38,20.0
ALHA ALFA BE YOU GLOW FOUNDATION - G60 NATURAL TAN,37,8,0.88,9,58.57,410,0.0,14.14,28.57,9,10,527,12.5,28.54,11.11
ALHA ALFA CHEEKY MATTE POWDER BLUSH - BL04,56,9,1.0,9,56.12,449,12.5,12.47,12.5,10,10,561,11.11,24.94,11.11
COMPACT POWDER &amp; CUSHION FOUNDATION - M10,30,7,1.0,7,69.86,489,0.0,-0.06,0.0,8,8,558,14.29,14.11,14.29
SATIN STAY SPF30 &amp; COMPACT POWDER - CP70,51,4,1.0,4,28.43,199,-42.86,-43.03,-42.86,4,4,113,0.0,-43.22,0.0
ROYAL PROPOLIS FOUNDATION - AURI,106,5,1.0,5,35.57,249,-28.57,-28.71,-28.57,6,6,213,20.0,-14.46,20.0
HEART APPLICATOR SPONGE - PEACH,13,6,1.0,6,34.14,239,-14.29,-14.43,-14.29,6,6,204,0.0,-14.64,0.0
ALHA ALFA FOGGY LIPS - CHERRY,87,6,0.86,6,34.83,209,-14.29,-0.14,0.0,6,6,208,0.0,-0.48,0.0
ALHA ALFA CHEEKY MATTE POWDER BLUSH - BL02,54,6,0.83,7,71.8,359,0.0,19.91,40.0,6,7,430,0.0,19.78,0.0
HEART APPLICATOR SPONGE - NUDE,12,5,1.0,5,33.17,199,-16.67,-16.88,-16.67,5,5,165,0.0,-17.09,0.0
SATIN STAY SPF30 &amp; COMPACT POWDER - CP30,47,1,0.83,1,11.8,59,-83.33,-80.29,-80.0,2,2,23,100.0,-61.02,100.0
ALHA ALFA LASHES PREMIUM COLLECTION - Code 007,1,3,0.8,3,11.25,45,-40.0,-25.0,-25.0,3,3,33,0.0,-26.67,0.0
ALHA ALFA SUNSCREEN &amp; FOUNDATION - MEDIUM,27,4,1.0,4,39.8,199,-20.0,-20.24,-20.0,5,5,199,25.0,0.0,25.0
GLOW SKIN TINTED HIDRATOR - DARK,24,2,0.8,2,0.0,0,-60.0,,-50.0,2,2,0,0.0,,0.0
SATIN STAY SPF30 &amp; COMPACT POWDER - CP20,46,1,1.0,1,9.8,49,-80.0,-80.36,-80.0,1,1,9,0.0,-81.63,0.0
ROYAL PROPOLIS LUMINOUS SILK FOUNDATION SPF35 - RPF70 MORRI,75,2,1.0,2,23.8,119,-60.0,-60.27,-60.0,2,2,47,0.0,-60.5,0.0
ALHA ALFA SUNSCREEN &amp; FOUNDATION - TAN,28,4,1.0,4,39.8,199,-20.0,-20.24,-20.0,5,5,199,25.0,0.0,25.0
ALHA ALFA CHEEKY MATTE POWDER BLUSH - BL08,59,5,1.0,5,49.8,249,0.0,-0.2,0.0,6,6,298,20.0,19.68,20.0
SATIN STAY SPF30 &amp; COMPACT POWDER - CP50,49,0,1.0,0,0.0,0,-100.0,-100.0,-100.0,0,0,0,,,
ALHA ALFA BE YOU MATTE FOUNDATION - M50 WARM NATURAL,42,4,1.0,4,44.75,179,0.0,-0.33,0.0,5,5,223,25.0,24.58,25.0
ROYAL PROPOLIS FOUNDATION - SALVIA,109,1,1.0,1,12.25,49,-75.0,-75.45,-75.0,1,1,12,0.0,-75.51,0.0
FACIAL CLEANSER &amp; MAKEUP REMOVER - NORMAL TO DRY,14,1,1.0,1,16.33,49,-66.67,-67.27,-66.67,1,1,16,0.0,-67.35,0.0
ALHA ALFA CHEEKY MATTE POWDER BLUSH - BL06,58,3,1.0,3,49.67,149,0.0,-0.47,0.0,3,3,149,0.0,0.0,0.0
ALHA ALFA LASHES PREMIUM COLLECTION - Code 009,3,1,1.0,1,4.0,12,-66.67,-66.67,-66.67,2,2,8,100.0,-33.33,100.0
ROYAL PROPOLIS FOUNDATION - FERVI,106,0,1.0,0,0.0,0,-100.0,-100.0,-100.0,0,0,0,,,
ALHA ALFA BE YOU MATTE FOUNDATION - M20 LIGHT,39,2,1.0,2,44.5,89,0.0,-0.89,0.0,2,2,89,0.0,0.0,0.0
COMPACT POWDER &amp; CUSHION FOUNDATION - M50,33,0,1.0,0,0.0,0,-100.0,-100.0,-100.0,0,0,0,,,
ALHA ALFA FACE BRUSH - BRUSH F05,4,1,1.0,1,37.5,75,-50.0,-50.0,-50.0,1,1,37,0.0,-50.67,0.0
SATIN STAY SPF30 &amp; COMPACT POWDER - CP10,45,-2,1.0,-2,-49.5,-99,-200.0,-199.2,-200.0,-2,-2,99,-0.0,-200.0,-0.0
ALHA ALFA BE YOU MATTE FOUNDATION - M60 NATURAL TAN,43,2,1.0,2,44.5,89,0.0,-0.89,0.0,2,2,89,0.0,0.0,0.0
POCKET CAMOUFLAGE CREAM - AAP40,64,0,1.0,0,0.0,0,-100.0,-100.0,-100.0,0,0,0,,,
ROYAL PROPOLIS LUMINOUS SILK FOUNDATION - MINI - MORRI,94,-1,1.0,-1,0.0,0,-150.0,,-150.0,-1,-1,0,-0.0,,-0.0
ROYAL PROPOLIS POWDER FOUNDATION - AA50 DARK,21,-2,1.0,-2,-29.5,-59,-200.0,-198.5,-200.0,-2,-2,59,-0.0,-200.0,-0.0
POCKET CAMOUFLAGE CREAM - AAP50,65,0,1.0,0,0.0,0,-100.0,-100.0,-100.0,0,0,0,,,
ALHA ALFA BE YOU MATTE FOUNDATION - M70 HONEY,44,2,1.0,2,44.5,89,0.0,-0.89,0.0,2,2,89,0.0,0.0,0.0
ALHA ALFA EYE BRUSH - BRUSH E01,8,0,1.0,0,0.0,0,-100.0,-100.0,-100.0,0,0,0,,,
ALHA ALFA EYE BRUSH - BRUSH SET,9,1,1.0,1,299.0,299,0.0,-0.3,0.0,1,1,299,0.0,0.0,0.0
ALHA ALFA BE YOU MATTE FOUNDATION - M10 FAIR,38,1,1.0,1,44.0,44,0.0,-2.0,0.0,1,1,44,0.0,0.0,0.0
ALHA ALFA FACE BRUSH - BRUSH SET,10,0,1.0,0,0.0,0,-100.0,-100.0,-100.0,1,1,0,inf,,inf
ALHA ALFA LASHES PREMIUM COLLECTION - Code 008,2,0,1.0,0,0.0,0,-100.0,-100.0,-100.0,0,0,0,,,
ALHA ALFA CHEEKY MATTE POWDER BLUSH - BL10,60,0,1.0,0,0.0,0,-100.0,-100.0,-100.0,0,0,0,,,
ALHA ALFA FACE MASK - 01 BLACK,15,0,1.0,0,0.0,0,-100.0,-100.0,-100.0,0,0,0,,,
ROYAL PROPOLIS LUMINOUS SILK FOUNDATION SPF35 - RPF80 OXALIS,76,-3,1.0,-3,-179.0,-179,-400.0,-398.83,-400.0,-3,-3,537,-0.0,-400.0,-0.0
ALHA ALFA SUNSCREEN &amp; FOUNDATION - DEEP,29,0,1.0,0,0.0,0,-100.0,-100.0,-100.0,0,0,0,,,
ALHA ALFA FACE BRUSH - BRUSH F02,7,0,1.0,0,0.0,0,-100.0,-100.0,-100.0,0,0,0,,,
SATIN STAY SPF30 &amp; COMPACT POWDER - CP80,52,-3,1.0,-3,-149.0,-149,-400.0,-398.6,-400.0,-4,-4,596,33.33,-500.0,33.33
ROYAL PROPOLIS FOUNDATION SPF 45 - DEEP,84,-2,1.0,-2,0.0,0,-300.0,,-300.0,-2,-2,0,-0.0,,-0.0
ALHA ALFA BE YOU MATTE FOUNDATION - M30 LIGHT MEDIUM,40,1,1.0,1,44.0,44,0.0,-2.0,0.0,1,1,44,0.0,0.0,0.0
ALHA ALFA FACE BRUSH - BRUSH F03,6,0,1.0,0,0.0,0,-100.0,-100.0,-100.0,0,0,0,,,
ALHA ALFA LASHES PREMIUM COLLECTION - Code 006,0,0,1.0,0,0.0,0,-100.0,-100.0,-100.0,0,0,0,,,
